,precision,recall,f1-score,support
Negative,0.6132075471698113,0.3611111111111111,0.45454545454545453,180.0
Neutral,0.46987951807228917,0.6536312849162011,0.5467289719626168,179.0
Positive,0.3181818181818182,0.330188679245283,0.32407407407407407,106.0
accuracy,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667
macro avg,0.46708962780797286,0.4483103584241985,0.44178283352738185,465.0
weighted avg,0.490780784844685,0.4666666666666667,0.46028928957277865,465.0
