,precision,recall,f1-score,support
Negative,0.5655172413793104,0.45555555555555555,0.5046153846153846,180.0
Neutral,0.5987261146496815,0.5251396648044693,0.5595238095238095,179.0
Positive,0.3619631901840491,0.5566037735849056,0.43866171003717475,106.0
accuracy,0.5053763440860215,0.5053763440860215,0.5053763440860215,0.5053763440860215
macro avg,0.508735515404347,0.5124329979816434,0.5009336347254563,465.0
weighted avg,0.5318993035055443,0.5053763440860215,0.5107175750526272,465.0
