,precision,recall,f1-score,support
Negative,0.49056603773584906,0.7222222222222222,0.5842696629213483,36.0
Neutral,0.47368421052631576,0.5,0.4864864864864865,36.0
Positive,1.0,0.09523809523809523,0.17391304347826086,21.0
accuracy,0.4946236559139785,0.4946236559139785,0.4946236559139785,0.4946236559139785
macro avg,0.654750082754055,0.43915343915343924,0.41488973096203186,93.0
weighted avg,0.5990646122305154,0.4946236559139785,0.4537569386207046,93.0
