,precision,recall,f1-score,support
Negative,0.46875,0.8333333333333334,0.6,36.0
Neutral,0.7241379310344828,0.5833333333333334,0.6461538461538462,36.0
Positive,0.0,0.0,0.0,21.0
accuracy,0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935
macro avg,0.39762931034482757,0.47222222222222227,0.4153846153846154,93.0
weighted avg,0.4617630700778643,0.5483870967741935,0.4823821339950372,93.0
