,precision,recall,f1-score,support
Negative,0.48333333333333334,0.8055555555555556,0.6041666666666666,36.0
Neutral,0.5,0.3888888888888889,0.4375,36.0
Positive,0.8,0.19047619047619047,0.3076923076923077,21.0
accuracy,0.5053763440860215,0.5053763440860215,0.5053763440860215,0.5053763440860215
macro avg,0.5944444444444444,0.46164021164021163,0.44978632478632474,93.0
weighted avg,0.5612903225806452,0.5053763440860215,0.4727047146401985,93.0
