model,accuracy,precision,recall,f1_score
naive_bayes,0.5483870967741935,0.6471153538136272,0.5483870967741935,0.5043040424479825
svm,0.4946236559139785,0.5990646122305154,0.4946236559139785,0.4537569386207046
random_forest,0.5053763440860215,0.5612903225806452,0.5053763440860215,0.4727047146401985
