,precision,recall,f1-score,support
Negative,0.5789473684210527,0.6111111111111112,0.5945945945945946,36.0
Neutral,0.5094339622641509,0.75,0.6067415730337079,36.0
Positive,1.0,0.09523809523809523,0.17391304347826086,21.0
accuracy,0.5483870967741935,0.5483870967741935,0.5483870967741935,0.5483870967741935
macro avg,0.6961271102284012,0.4854497354497355,0.45841640370218784,93.0
weighted avg,0.6471153538136272,0.5483870967741935,0.5043040424479825,93.0
