,precision,recall,f1-score,support
Negative,0.4727272727272727,0.7222222222222222,0.5714285714285714,36.0
Neutral,0.6052631578947368,0.6388888888888888,0.6216216216216216,36.0
Positive,0.0,0.0,0.0,21.0
accuracy,0.5268817204301075,0.5268817204301075,0.5268817204301075,0.5268817204301075
macro avg,0.3593301435406699,0.4537037037037037,0.3976833976833977,93.0
weighted avg,0.41728661830529407,0.5268817204301075,0.4618258811807199,93.0
